ClassCount,KNNscore,NeuralNetworkscore,DecTreeScore
4,0.93897181,0.94759536,0.93747927
6,0.93064677,0.9321393,0.93353234
8,0.93994314,0.94832978,0.94598436 
10,0.9355445,0.94284135,0.94499724 
12,0.93505201,0.9355043,0.94482135 
14,0.93880597,0.94676617,0.94982778
16,0.93618574,0.94321725,0.9494859 
18,0.93666959,0.94105941,0.94688323
20,0.93904163,0.94338832,0.9493061 
22,0.93688699,0.94465766,0.94754797
24,0.93770279,0.94202899,0.94953493
